Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC14_1
,13910,Ianthocincla sukatschewi,02.06.08,,Garrulax sukatschewi,28437
,13920,Ianthocincla cineracea,02.06.08,,Garrulax cineraceus,28447
,13930,Ianthocincla lunulata,02.06.08,,Garrulax lunulatus,28460
,13940,Ianthocincla maxima,02.06.08,,Garrulax maximus,28457
,13950,Ianthocincla ocellata,02.06.08,,Garrulax ocellatus,28452
,13960,Pterorhinus caerulatus,02.06.08,,Garrulax caerulatus,28527
,13970,Garrulax canorus,02.06.08,,Garrulax canorus,28395
,13980,Pterorhinus sannio,02.06.08,,Garrulax sannio,28490
,13990,Trochalopteron lineatum,02.06.08,,Garrulax lineatus,28099
,14000,Trochalopteron subunicolor,02.06.08,,Garrulax subunicolor,28091
,14010,Trochalopteron elliotii,02.06.08,,Garrulax elliotii,28122
,14020,Trochalopteron henrici,02.06.08,,Garrulax henrici,28121
,14030,Trochalopteron affine,02.06.08,,Garrulax affinis,28112
,14040,Trochalopteron erythrocephalum,02.06.08,,Garrulax erythrocephalus,28131
,14050,Trochalopteron formosum,02.06.08,,Garrulax formosus,28142
,14060,Liocichla steerii,02.06.08,,Liocichla steerii,28264
,14070,Leiothrix lutea,02.06.08,,Leiothrix lutea,28228
,14080,Myzornis pyrrhoura,02.06.08,,Myzornis pyrrhoura,26960
,14090,Cutia nipalensis,02.06.08,,Cutia nipalensis,28082
,14100,Pteruthius flaviscapis,02.06.08,,Pteruthius flaviscapis,21191
,14110,Pteruthius xanthochlorus,02.06.08,,Pteruthius xanthochloris,21168
,14120,Actinodura nipalensis,02.06.08,,Actinodura nipalensis,28187
,14130,Actinodura cyanouroptera,02.06.08,,Minla cyanouroptera,28199
,14140,Actinodura strigula,02.06.08,,Minla strigula,28209
,14150,Minla ignotincta,02.06.08,,Minla ignotincta,28249
,14160,Lioparus chrysotis,02.06.08,,Alcippe chrysotis,26962
,14170,Schoeniparus cinereus,02.06.08,,Alcippe cinerea,27819
,14180,Schoeniparus castaneceps,02.06.08,,Alcippe castaneceps,27820
,14190,Fulvetta vinipectus,02.06.08,,Alcippe vinipectus,26990
,14200,Fulvetta striaticollis,02.06.08,,Alcippe striaticollis,26989
